Desplaz. [mm]	Fuerza [N]
0	0
0.001083921	-0.7629
0.001427	1.883181072
0.02515886	2.882489014
0.03802	3.815
0.078833834	9.918
0.09559	17.72924177
0.12090438	22.89
0.154	26.71556943
0.168495426	43.49
0.2059	63.31825747
0.2403	72.10809456
0.2712	81.63
0.276987768	88.5
0.3161	89.75464517
0.350656733	90.79
0.356	90.79
0.356	98.42
0.422230514	101.6941516
0.4304	112.801632
0.466394375	121.3
0.4722	121.3
0.4722	151.8
0.5179	151.8
0.5179	151.8
0.587761129	207.9624446
0.6052	219.7995291
0.62731353	241.1
0.6396	241.1
0.6396	241.1
0.680221839	305.9
0.7253	312
0.726676371	354.8
0.784940479	370.8
0.799	401.7485253
0.8397	408.6634315
0.863624641	437.2
0.8838	437.2
0.8838	485.2
0.954369742	499
0.9615	531
1.006	531
1.006	531
1.041022096	568.4
1.052	600.4
1.093	603.5906259
1.116649225	625.6
1.13	656.1
1.17	656.1
1.201156127	687.4
1.211	687.4
1.24799733	722.5
1.254	753.8
1.297	753.8
1.325266912	794.2
1.35884483	814.1
1.385	835.2012887
1.415	838.5
1.441544248	871.3
1.459	871.3
1.459	911.7
1.515	918.3051986
1.540025835	935.4
1.564138484	954.4
1.578	954.4
1.578	981.9
1.62	981.9
1.6213402	1019
1.671	1033.877551
1.708848264	1046
1.724643371	1067
1.744	1090.395232
1.779	1091
1.779	1091.808784
1.825772401	1122
1.827	1122
1.827	1158
1.882542538	1162.124858
1.901	1170
1.942715915	1200
1.949	1200
1.980588706	1230
1.997	1251
2.032	1251
2.07748029	1286.823219
2.105	1295
2.105	1321
2.15	1321
2.151139519	1350
2.195	1350
2.195	1372.353403
2.225439491	1384
2.255933766	1400
2.278	1416.161909
2.31	1420
2.321400009	1443
2.351	1443
2.375327612	1475
2.406	1488.080772
2.437284488	1501
2.461516395	1518
2.481	1534.332868
2.52	1541
2.52	1541
2.549581227	1566
2.562	1590
2.604	1591.689912
2.624504456	1612
2.641	1612
2.669219076	1636
2.692	1655
2.722	1655
2.727711908	1681
2.766	1681
2.766	1694.958818
2.793189128	1709
2.829775204	1723
2.841	1740.256211
2.885	1746
2.886070686	1768
2.926	1768
2.958310108	1798
2.98	1818.212592
3.027	1828.425612
3.045	1833.516406
3.057822562	1853
3.091	1853
3.091	1865.4684
3.128837012	1878
3.132	1878
3.132	1904.7638
3.16903756	1907.614788
3.208	1915
3.211602724	1935
3.254	1945.413841
3.291	1954
3.301934311	1979
3.351	1991.94901
3.389	1997.556133
3.413	2004
3.413	2004
3.460748609	2022
3.463111534	2033
3.502	2036.938103
3.540669618	2042
3.548708729	2047
3.581	2047
3.586265071	2048
3.622	2045.179385
3.65667212	2044
3.662	2044
3.663168526	2034
3.707	2034
3.747381462	2020.787392
3.779482568	2013
3.78	1999
3.822	1999
3.822	1984
3.869	1984
3.869	1970
3.917	1964.146555
3.945488681	1958
3.948	1958
3.979416164	1945
3.993993101	1934
4.03	1932.038
4.05271539	1923
4.071	1923
4.089990054	1913
4.113	1905
4.153	1905
4.153	1904.710457
4.154159773	1894
4.198	1890.681868
4.23	1889
4.23	1880.238958
4.268634713	1880
4.292631044	1875
4.318	1870.157541
4.35504579	1869
4.356	1869
4.396914844	1864
4.399135231	1859
4.438	1859
4.478875797	1853
4.504693019	1849
4.524	1846.394587
4.557	1846
4.557	1842
4.602	1842
4.602	1842
4.639674221	1838
4.672544278	1836
4.68	1833
4.724	1833
4.734737002	1830
4.761	1830
4.803417088	1826
4.807	1823
4.856	1822.417249
4.878683128	1821
4.888	1821
4.909774627	1818
4.937	1817.027314
4.971	1816.605782
4.991139867	1814
5.012	1814
5.038150049	1813
5.052	1810
5.091	1810
5.091	1809.949063
5.100054113	1808
5.142	1807.396436
5.175074607	1807
5.189551387	1804
5.218	1804
5.218	1804
5.257	1804
5.264072229	1802
5.296	1801.300921
5.332813971	1801
5.336	1801
5.343438676	1799
5.377	1799
5.426796545	1797
5.440339366	1796
5.464	1794.053541
5.497	1794
5.497	1793.848349
5.512959596	1792
5.544	1791.447648
5.582442664	1791
5.586	1791
5.586	1791
5.605229229	1790
5.664807608	1789
5.676351553	1788
5.701	1786.895536
5.738301475	1786
5.747	1786
5.747	1785.619487
5.754375582	1785
5.808735317	1784
5.828	1783.654095
5.860961791	1783
5.87284398	1782
5.905	1782
5.906598023	1781
5.966	1780.505431
5.994389952	1780
6.026310424	1779
6.028	1778.974366
6.040516761	1778
6.073	1777.187321
6.113	1777
6.113	1776
6.162	1775.50524
6.194	1775
6.229758891	1775
6.240733876	1774
6.273	1774
6.273	1773.132561
6.322	1773
6.351593062	1772
6.375	1772
6.407	1771.243248
6.436	1771
6.481	1769
6.514800071	1769
6.523	1768
6.563	1768
6.563	1768
6.575791003	1767
6.607	1766.296109
6.648	1766
6.653205951	1765
6.689	1765
6.689	1765
6.728799298	1765
6.755262828	1765
6.763	1764
6.807	1764
6.846046182	1763
6.852	1762
6.894	1762
6.894	1762
6.905195891	1762
6.966168242	1761
6.973977332	1761
7.011	1760.666012
7.048749934	1760
7.052	1760
7.079470811	1759
7.129522861	1759
7.13	1759
7.176	1758.761299
7.20851605	1758
7.217	1758
7.257232486	1757
7.288975289	1757
7.301	1756.081557
7.341	1756
7.375135498	1756
7.376	1756
7.396430852	1756
7.429	1754
7.47	1753.592633
7.504	1753
7.538895811	1753
7.542	1753
7.585	1752
7.590223247	1752
7.626	1752
7.626	1752
7.626	1751.026713
7.673547371	1751
7.702	1750.920639
7.724294916	1750
7.743	1750
7.787	1750
7.827862996	1748
7.858693191	1747
7.866	1747
7.911	1747
7.934946386	1747
7.948	1747
7.970775311	1746
7.994	1746
8.051491301	1746
8.07	1745.92182
8.083349947	1745
8.116	1745
8.152	1745
8.156125283	1743
8.205	1743
8.24	1743
8.266403457	1743
8.278	1743
8.30530623	1742
8.328	1741
8.368	1741
8.392253572	1741
8.403	1741
8.410777813	1740
8.445	1740
8.47676594	1740
8.498	1739.459159
8.537478207	1739
8.555936056	1738
8.582	1737
8.615	1737
8.642	1737
