Desplaz. [mm]	Fuerza [N]
0	0
1.31028E-05	-0.7629
0.0001678	-0.7629
0.023924596	0.7629
0.199740837	0.7629
0.285088243	0.7629
0.5116	1.148794208
0.847438336	1.526
0.968712048	1.526
1.279	1.526
1.525915139	3.052
1.836	3.815
2.184	3.815
2.511	3.815
2.511	3.815
2.911780685	3.815
3.090906534	3.815
3.319	3.815
3.652095834	5.341
3.792	5.341
4.21	5.341
4.440891	5.341
4.537	5.341
4.771046583	6.104
4.962	6.104
4.962	6.104
5.432	6.104
5.464526463	6.104
5.843	6.604290078
6.193416794	6.866
6.358279995	7.629
6.563	7.629
6.808723447	7.629
7.004	7.629
7.294541338	8.392
7.527	8.392
7.885	8.392
8.196	8.392
8.50296634	8.392
8.63	8.392
9.025986981	9.155
9.186	9.155
9.518	9.155
9.83	9.155
9.956348479	9.918
10.27	9.918
10.61947187	9.918
10.68	9.918
11.06638631	10.68
11.49454192	10.68
11.5	10.68
11.91362647	10.68
11.98	11.44
12.35	11.44
12.35	11.44
12.49512315	10.68
12.96	11.29671151
13.29	11.44
13.33810948	11.44
13.92	12.21
14.2583206	12.97
14.4	12.94903765
14.52264594	12.21
14.84	12.74940116
15.25	12.97
15.44848036	12.97
15.55	12.97
15.55	12.21
15.98	12.3811564
16.22881083	12.97
16.43	12.97
16.92603504	13.73
17.18	13.73
17.63785044	13.73
17.87123959	13.73
18	13.73
18.48	14.5
18.61457404	14.5
18.83	14.5
19.06232116	14.5
19.3	15.26
19.63	15.26
19.63	15.26
19.74113062	15.26
20.24615031	15.26
20.48	15.26
20.5199795	15.26
21	15.6718682
21.3293069	16.02
21.45857199	16.02
21.7	16.02
21.7	16.02
22.05503659	16.78
22.24	16.78
22.61	17.28092081
22.92	17.55
22.92	17.55
22.95199246	16.78
23.34	16.78
23.68332493	16.78
23.74	16.78
23.95094793	16.78
24.46071938	17.55
24.53	17.55
24.97	17.55
25.39385896	19.07
25.46	19.07
25.95	18.68737704
26.17	18.31
26.33891035	18.31
26.6	18.31
26.6	18.31
27	18.36795185
27.16274039	19.07
27.41	19.07
27.41	19.07
27.83880943	19.07
28.11549587	19.07
28.25	19.81029326
28.63	19.84
28.63	19.84
28.81859908	19.84
29.05	19.84
29.47	19.84
29.47	19.84
29.70830221	19.84
