Desplaz. [mm]	Fuerza [N]
0	0
3.30555E-05	0
0.00008392	0
0.004237919	2.289
0.02283	8.230296143
0.04297	14.7896867
0.073380888	20.6
0.079133729	38.15
0.1115	51.51470813
0.1452	52.64
0.167887039	60.27
0.1904	60.27
0.232955652	67.14
0.257201821	74.01
0.2679	74.01
0.301569202	93.84
0.321084712	111.4
0.3554	124.7166798
0.3905	128.9
0.421321932	154.1
0.456984687	170.9
0.4713	170.9
0.4713	192.3
0.5129	197.3489928
0.541931906	214.4
0.5539	214.4
0.580612408	233.5
0.5947	233.5
0.5947	264.7
0.6632	270.9711891
0.682	282.8558681
0.7165	291.4
0.726127219	310.5
0.7581	310.5
0.8208	337.2
0.831129409	356.3
0.875221725	363.2
0.880056464	380.7
0.9206	380.7
0.941896633	401.3
0.9744	414.7776154
1.017857908	422.9112508
1.042	429.5
1.092	447.1
1.095134209	463.9
1.133	471.2814203
1.171	476.1
1.20215443	489.8
1.218296511	505.1
1.247	505.1
1.2834635	521.1
1.295	521.1
1.331580162	540.2
1.343	554.7
1.383	559.5360693
1.410470237	566.9
1.432207066	579.1
1.452	579.1
1.452	589.3562778
1.492	593.6
1.493106011	608.8
1.534	608.8
1.534	630.2
1.584144053	631.3017661
1.614	636.3
1.614	653.8
1.662	658.066166
1.696110404	666
1.697	666
1.71216909	682.8
1.75	682.8
1.76739111	705.7
1.825729866	711.1
1.841993607	723.3
1.86	731.6140214
1.896412351	737
1.902	737
1.910085151	757.6
1.974842239	763.7
1.983	771.3976969
2.013976774	779
2.033673055	791.2
2.065	791.2
2.074787855	806.4
2.117	814.4472579
2.153	817.9
2.169695625	829.3
2.187	829.3
2.187	840.5723402
2.232	842.3
2.261542454	859.8
2.291	870.2069912
2.323	874.1940064
2.338462247	883.5
2.370915125	891.9
2.391	899.7164809
2.428991789	904.1
2.432	904.1
2.443580339	917.1
2.481	917.1
2.481	928.0814412
2.512110268	933.8
2.554	937.7
2.554	952.1
2.604	953.7765423
2.633429823	961.3
2.636	961.3
2.63740802	975
2.692	979.6619956
2.719	982.7
2.719	995.6
2.773	997.4813269
2.795940487	1006
2.808	1008.106772
2.825480488	1017
2.853	1027
2.888	1031.297912
2.922	1035
2.922	1039.461664
2.942877949	1045
2.964	1045
2.964	1045
3.007014273	1059
3.021	1067.911054
3.068	1070
3.081467929	1078
3.11363906	1083
3.126	1083
3.169261016	1094
3.183755442	1101
3.209	1101
3.209	1112.670774
3.253262634	1113
3.281484638	1119
3.299840363	1126
3.332	1126
3.332	1126.220601
3.345282783	1134
3.379	1138.01195
3.409458827	1142
3.428336793	1148
3.457	1148
3.457	1148
3.500774127	1158
3.530117069	1163
3.54	1170.38136
3.574007441	1171
3.583	1179
3.629	1179.150693
3.644642303	1185
3.664	1189.565266
3.695840438	1191
3.699	1191.167591
3.704258278	1197
3.74	1197
3.74	1203.485726
3.781688806	1205
3.788	1205
3.822962775	1212
3.857983346	1216
3.862	1221.837238
3.904	1222
3.911266493	1228
3.944	1228
3.944	1229.955287
