Desplaz. [mm]	Fuerza [N]
0	0
0.001707384	-1.526
0.003105	4.268190017
0.070328328	7.204568728
0.1417	25.59806036
0.207	40.44
0.328	69.43
0.449914387	86.98
0.478306488	112.9
0.5841	127.8800062
0.682938476	147.2
0.7058	147.2
0.742667483	180.8
0.8164	180.8
0.936242471	216.7
0.978539803	242.6
1.054	242.6
1.208	276.9
1.208	304.4
1.343	313.4919463
1.421	321.2
1.421	321.2
1.567049091	348.7
1.589981012	368.5
1.676	368.5
1.755914483	392.9
1.836	409.7
1.936	416.5447726
2.037	425
2.037	429.7408813
2.085407098	441.7
2.164	456.8828326
2.282	459.3
2.304700143	478.4
2.456	489.5896424
2.554	492.221806
2.624415191	502.8
2.656	502.8
2.749509962	515.7
2.789	531.8
2.924	537.2961752
3.015	540.9
3.050907706	550.1
3.139	550.1
3.231025643	560.8
3.26	560.8
3.26	572.2
3.402	572.2
3.40548908	583.6
3.539	590.2017779
3.629	591.3
3.65064695	599.7
3.75	599.7
3.773659821	607.3
3.882	611.3760938
3.980354741	616.5
4.003	623.3
4.12	623.3
4.12	623.3
4.12	631.7684118
4.232292908	632.5
4.332878245	637.1
4.367	643.3113956
4.488	643.9
4.488	643.9
4.501226708	651.6
4.659	654.1822216
4.733	656.6820488
4.795279922	660.7
4.86	665.8616892
4.978	666
5.086559127	673.7
5.144	679.6340011
5.255	681.1166138
5.34059172	682.8
5.362	682.8
5.364773184	686.6
5.473	687.8977342
5.550421858	691.2
5.593	691.2
5.735	695.8
5.785282945	699.6
5.835	699.6
5.835	703.4
5.961	703.4
6.09912078	705.7
6.103	709.5
6.228	710.1650221
6.306663008	711.8
6.372998295	714.1
6.446	714.1
6.495625583	717.2
6.571	717.2
6.663186109	721
6.711	721.6821184
6.838	721.7
6.838	721.9933195
6.865947246	725.6
7.008880201	727.1
7.058	728.393403
7.184	728.6
7.184	728.6
7.318302113	730.9
7.331	731.7
7.461	731.7
7.461	731.7
7.461	731.9628282
7.617965947	733.3983157
7.691	734.1059627
7.769379361	735.5
7.794	736.2
7.944	736.2
7.973269531	738.5
8.071	738.6849581
8.166330908	739.3
8.169	739.3
8.308	738.5
8.361041216	739.3
8.414	739.3
8.414	741.6
8.561	740.9582954
8.655	740.8
8.655	740.1190201
8.794	740.1
8.863705036	741.6
8.9	741.6
8.956479909	741.6
9.066	742.0532709
9.177	742.3626838
9.224004449	743.1
9.284	743.1
9.345917041	742.3
9.395	743.7679603
9.514	743.9
9.637583236	742.3
9.657	742.3
9.742699338	743.1
9.857267428	742.3
9.877	742.3
9.920464784	741.6
10.03	741.9474902
10.14013883	742.3
10.15	740.8
10.27	741.113863
10.37	741.6
10.44253994	740.8
10.49	740.8
10.58177792	741.6
10.63	740.1
10.76	740.1
10.81555691	739.3
10.86	739.3
10.96392472	740.1
10.98	740.1
11.05557775	738.5
11.13	737.8179261
11.25	737.8
11.27814462	737
11.37	737
11.58092331	735.6685407
11.6	736.2
11.72	736.2
11.84213023	733.9
11.88781359	734.7
11.97	734.7
11.97	734.7
12.09832298	733.9
12.1380373	732.4
12.21	732.4
12.32688669	732.4
12.33	732.4
12.51	731.7
12.57	731.7
12.6068946	730.9
12.7	730.9
12.70308604	729.4
12.82	729.4
12.82	729.4
12.90940299	728.6
13.00772087	727.8
13.1	726.8167729
13.19	726.3205167
13.24858758	727.1
13.31	725.2345537
13.43	724.8
13.55176264	724.8
13.61865452	724.8
13.68	724.8
13.76531755	722.5
13.8	722.5
13.8	721.1218899
13.95	721
13.97154542	721
14.07	721
14.07	720.4337982
14.18905066	720.2
14.28343806	718.7
14.29	718.7
14.41975673	719.5
14.44	717.9
14.56	716.3700788
14.66945631	714.9
14.68	714.9
14.69303904	714.9
14.78	714.0107982
14.88812109	713.3
14.9	713.3
15.04	713.3
15.04	713.3
15.13477657	711.8
15.23	710.8153589
15.35638287	710.3
15.36	710.3
15.36	708.8
15.5820338	708.8
15.59846682	708
15.72355972	707.2
15.76	707.2
15.76	707.2
15.78477671	706.5
15.98823765	705.7
16	705
16.13	704.9593383
16.14902691	703.4
16.27	702.3282366
16.39	701.9
16.44355978	701.9
16.5	701.9
16.52786519	700.4
16.62	700.4
16.73206285	700.4
16.75	700.4
16.84020601	698.9
16.9	697.3
17.02	697.3
17.11	697.3
17.17253902	695.8
17.25	694.3
17.36	694.3
17.36	693.8151475
17.48759372	693.5
17.52328055	692.7
17.6	692.7
17.6990924	692.7
17.73	689.7
17.84	689.7
17.92984782	689.7
18.02	688.4154884
18.13	687.937254
18.22	687.4
18.34	687.4
18.46016263	685.1
18.49	685.1
18.6	684.8670092
18.69493502	684.4
18.71	684.4
18.71	682.1
18.83	682.2978152
18.90246641	682.8
18.95	682.8
19.03936281	679.8
19.1	680.4045723
19.22	680.5
19.23188797	677.5
19.38040774	677.5
19.45	677.5
19.46559471	676.7
19.57	676.316479
19.68	676
19.68	676
19.83567633	674.4
19.92820322	674.4
19.93	673.7
20.05	673.7
20.09784912	672.1
20.19	670.5647442
20.31672034	669.9
20.35295244	669.9
20.42	669.9
20.45977892	668.3
20.56	667.7320016
20.66	667.6
20.79708016	666.8
20.84	666
20.96	665.1993372
21.03	664.5
21.09533645	664.5
21.15	664.5
21.15	662.9938012
21.27551783	662.2
21.28	662.2
21.42	662.0863901
21.49069138	660.7
21.52	660.7
21.64643196	659.9
21.65	659.9
21.73472728	659.9
21.79	658.1216456
21.92	657.7
21.92	657.7
22.06	657.2501187
22.13	656.1
22.13407941	656.1
22.28	655.315821
22.35869302	653.8
22.4	653.1
22.51	653.1
22.51	653.0612931
22.6567842	651.4890166
22.74	650.8
22.74	650.8235625
22.76676263	651.6
22.89	650.3325226
22.98418388	649.3
23.01	649.3
23.06867843	649.3
23.15256329	648.5
23.24	648.141336
23.32879995	647.7
23.36	647.7
23.45679528	645.4
23.50853651	645.4
23.61	645.4
23.68124564	643.9
23.77	643.2
23.88	642.4151261
23.96919673	641.6
23.99	641.6
24.09363226	641.6
24.11	640.1
24.25	640.1
24.25435883	638.6
24.43385575	637.8664012
24.48	637.8
24.59	637.8
24.59	637.8
24.69518731	635.5
24.74	634.8
24.86	634.1034101
24.95736731	633.2
24.96	633.2
24.97572277	632.5
25.08	632.0248267
25.2	631.7
25.22783774	631.7
25.35	629.9596524
25.46	629.4
25.52575389	629.4
25.57	629.4
25.64814049	627.9
25.69	627.1
25.81	627.1
25.81	627.1
25.81	627.1
25.90519985	627.1
26.03187323	625.6
26.05	624.8656906
26.19	624.8
26.23357643	623.3
26.32	622.8428521
26.43148666	622.6
26.48835344	621.8
26.55	621.8
26.61176793	619.5
26.69	619.5
26.79	619.5
26.79	619.5
26.88289305	619.5
26.93	618.2073172
27.05094456	618
27.07	617.797145
27.09494914	616.5
27.22923657	614.9
27.29	614.9
27.29	615.4325804
27.41859393	615.7
27.46953532	614.2
27.53	614.2
27.53	613.480942
27.56872075	612.6
27.72400901	611.9
27.77	610.9427916
27.8891505	610.4
27.9	610.4
28.01362247	610.4
28.04	608.1
28.16	607.7030386
28.26	607.3
28.32257083	605.8
28.4	605
28.51	605
28.51	605
28.65678609	603.4793328
28.74010504	602.7
28.75302998	602
28.87	601.2146237
28.99665603	600.4
29	600.4
29.11692874	598.9
29.12	598.1
29.26	598.0105332
29.34049019	597.4
29.36	597.4
29.38322859	595.9
29.49	595.9
29.49	595.9
29.60458269	595.9
29.64	593.6
29.76	593.6
29.76	592
29.9	591.4679201
29.98	591.3
29.98	589
30.12	589
30.16745763	588.2
30.24	586.0872921
30.36	585.9
30.36	585.9
30.44907509	585.9
30.47	583.6
30.59	583.6
30.64051054	581.4
30.74	580.667738
30.84	580.6
30.84	579.8357057
30.87540683	578.3
30.99226175	578.3
31.08	578.3
31.08	575.3
31.23	574.5852187
31.31388105	573.7
31.35428521	571.4
31.45	571.4
31.45	570.9407286
31.58	570.7
31.58	565.3
31.72	564.8828562
31.79324312	563
31.84768616	562.3
31.94	562.3
32.06980005	559.2
32.12519341	556.2
32.18	556.2
32.18	554.7
32.32	554.0501065
32.42081168	552.4
32.43	552.4
32.46928256	547.8
32.62265484	544.7
32.68	541.8148351
32.8	540.9
32.83992153	537.9
32.92	537.9
32.97982758	532.5
33.04	528.1233536
33.19	528
33.19	521.1
33.31	519.0182769
33.41	517.3
33.41	517.3
33.42922503	510.4
33.56	507.4026167
33.66	505.8
33.78168058	499.7
33.85959261	494.4
33.9	494.4
33.99753486	488.3
34.02	481.4
34.14	481.4
34.24471652	476.1
34.3	469.0310842
34.44	468.3194971
34.50408032	465.4
34.54	465.4
34.54906328	460.1
34.66	457.1275542
34.76	456.2
34.76	456.2
34.89755649	448.6
34.91	445.6
35.06	444.4384524
35.13	443.3
35.19033159	439.5
35.25	437.2614075
35.37	437.2
35.5	434.9
35.53104081	431.1
35.61	431.1
35.61	429.542178
35.75609681	429.5
35.78586075	428.8
35.87	428.8
35.91787277	425
36.01	425
36.15615695	424.2
36.22	424.2
36.3123338	421.9
36.35	421.9
36.47901452	420.4
36.52	420.4
36.62	420.4
36.62	420.4
36.62	417.8865295
36.69267061	416.6
36.81	417.2675686
36.81426471	418.1
36.98	416.3675535
37.03917924	415.8
37.09	413.940821
37.21079912	413.5
37.25421319	414.3
37.33	414.3
37.33346618	413.5
37.46	413.3735059
37.51904726	412.8
37.58	412.8
37.66201294	412.8
37.74669414	411.2
37.82	411.2
37.82	411.2
37.92648939	411.2
37.96	411.2
38.06	411.2
