Desplaz. [mm]	Fuerza [N]
0	0
0.002540712	0
0.004364	5.61833703
0.0303	6.866
0.0303	9.101740056
0.038210299	19.07
0.07419	21.06461571
0.1027	21.82771405
0.149202004	27.47
0.169213578	36.62
0.1856	36.62
0.194670842	62.56
0.2353	75.13843956
0.272	85.45
0.287675574	113.7
0.3072	113.7
0.364253251	163.248622
0.388	178.5
0.395151002	210.6
0.4279	226.2044026
0.459358445	241.9
0.4689	241.9
0.4689	279.2
0.5253	279.2
0.561300779	312
0.590333684	329.6
0.600335797	354
0.6322	354
0.6322	365.1910771
0.657840393	382.2
0.6796	382.2
0.728285829	415
0.748252418	433.3
0.769747	452.4
0.7965	452.4
0.813427897	476.1
0.8389	496.4886617
0.8781	498.2
0.8781	498.2
0.919470754	530.2
0.951457661	543.2
0.9591	563.5933481
1.001	565.3
1.039472759	594.3
1.055	615.1381553
1.092	623.8844592
1.123178993	634
1.124	634
1.130930129	656.9
1.164	666.2990448
1.193815267	681.3
1.206	681.3
1.207259039	705.7
1.252	705.7
1.252	716.2311666
1.269676757	736.2
1.314759509	749.2
1.326	749.2
1.326	772.9251923
1.359647962	778.2
1.377	801.1
1.416	814.700524
1.453	822.4
1.453	822.4
1.45794118	845.3
1.492	863.1235448
1.532	867.5
1.532	892.6
1.579	892.6
1.593110523	916.3
1.621	937.3766031
1.656	939.2
1.694718736	963.6
1.707151325	987.2
1.737	987.2
1.758260615	1012
1.785	1034
1.818	1034
1.818	1043.770162
1.843537478	1059
1.861	1081.381363
1.902	1082
1.914705856	1104
1.939	1104
1.939	1121.609509
1.978935611	1129
1.982	1129
1.982	1162.181533
2.010678257	1165
2.041	1183.293403
2.082	1190.762204
2.103197462	1203
2.105	1203
2.134851694	1228
2.147	1228
2.158219167	1263
2.209	1274.779273
2.24	1285.584105
2.266314372	1297
2.267	1322
2.309	1317.253501
2.328515605	1135
2.348	1135
