Desplaz. [mm]	Fuerza [N]
0	0
2.38109E-05	0
0.00008392	0
0.007385	0
0.009664868	0
0.03676	0
0.0658	0
0.0658	0
0.10058191	0
0.1036	0
0.134666274	0.7629
0.1506	0.7629
0.1863	0.7629
0.1863	0.7629
0.2352	0.7629
0.266563657	0.7629
0.281069457	0.7629
0.3054	0.7629
0.3054	0.7629
0.3479	0.7629
0.357692657	0.7629
0.4017	0.981671429
0.412884663	1.526
0.459718694	1.526
0.4687	1.526
0.477502071	2.289
0.5171	2.289
0.552208161	2.289
0.5578	2.289
0.586777624	2.289
0.6061	2.289
0.6403	2.289
0.665511746	2.289
0.6763	2.289
0.685355189	3.052
0.7153	3.052
0.764115726	3.052
0.776507116	3.052
0.8045	3.815
0.8381	3.815
0.841629104	3.815
0.8837	3.815
0.919	3.815
0.925246068	3.815
0.9661	3.815
1.001	3.815
1.002097883	4.578
1.043	4.361005531
1.074584233	3.815
1.082	3.815
1.082	4.578
1.133	4.578
1.133	4.578
1.183585609	4.716653714
1.206	5.341
1.21517052	5.341
1.246	5.341
1.287614826	6.104
1.294	6.104
1.337	6.104
1.364325239	6.104
1.369	6.104
1.409	6.104
1.409	6.104
1.409	6.104
1.459244183	6.104
1.48	6.239455315
1.48	6.866
1.548	6.866
1.555918768	6.866
1.607	6.866
1.640206452	6.866
1.655	6.866
1.6841028	6.866
1.694	7.629
1.738	7.629
1.751585626	7.629
1.778	6.969044067
1.818	6.866
1.838173305	7.629
1.889017468	6.866
1.899	7.288738454
1.933142056	7.629
1.942	7.629
1.98	7.687449069
1.994363463	8.392
2.022	8.392
2.022	8.392
2.06060083	8.392
2.08149584	8.392
2.103	8.392
2.111805895	8.392
2.152	8.392
2.181313131	8.392
2.188	8.392
2.228	8.392
2.228	9.155
2.29515848	9.155
2.309	9.155
2.34798483	9.155
2.349	9.155
2.394141063	9.155
2.409204242	9.155
2.437	9.155
2.437	9.918
2.487	9.918
2.511837351	9.918
2.514	9.918
2.538223092	9.918
2.554	9.918
2.594	9.918
2.594	9.623290356
2.611212571	9.155
2.645	9.155
2.677	9.155
2.677	9.608076899
2.713373921	9.918
2.731110031	9.918
2.757	9.918
2.79295404	9.918
2.8145134	9.918
2.844	9.918
2.88	9.918
2.88	9.918
2.89201417	10.68
2.923	10.68
2.961	10.68
2.961	10.68
2.974090494	10.68
3.008	10.68
3.046	10.68
3.056739473	10.68
3.083	10.68
3.083	11.44
3.125	11.44
3.175584367	11.44
3.186483361	11.44
3.216	11.44
3.249	11.44
3.269169544	11.44
3.294	11.44
3.33	11.44
3.356998553	12.21
3.379	12.21
3.419	12.21
3.450186836	12.21
3.451	12.21
3.478061376	12.21
3.5	12.21
3.536	12.21
3.564462863	12.97
3.602627074	12.97
3.617	12.97
3.655008482	12.97
3.656	12.21
3.697	12.21
3.697	12.21
3.745381572	12.97
3.765	12.36014527
3.81	12.21
3.81	12.97
3.820164588	12.97
3.886	12.97
3.916079116	13.10515697
3.939480846	13.73
3.943	13.73
3.983	13.73
4.000990485	13.73
4.024	13.73
4.054453374	13.73
4.07	14.2626206
4.110929652	14.5
4.121762334	14.5
4.148	14.5
4.179811821	14.5
4.187	14.5
4.187	14.5
4.229	14.5
4.274788709	14.5
4.276	14.5
4.319	14.63976177
4.339449461	15.26
4.35	15.26
4.386344337	15.26
4.392	15.26
4.432	15.26
4.452025905	15.26
4.491	15.26
4.523	15.26
4.544827405	15.26
4.56	15.26
4.595	15.26
4.595	15.26
4.633307386	16.02
4.644886302	16.02
4.679	16.02
4.685024985	16.02
4.726	16.02
4.760747162	16.02
4.766872736	16.02
4.799	16.02
4.846	16.02
4.86071129	16.78
4.904773016	16.78
4.922	16.78
4.960929325	16.78
4.973183329	16.78
5.011	16.78
5.028489657	16.78
5.051	16.78
5.057617868	16.78
5.102	16.78
5.126	17.03501673
5.159244017	17.55
5.167	17.55
5.167	17.55
5.204121445	17.55
5.217	17.55
5.26	17.55
5.290178411	17.55
5.291	17.55
5.330884647	17.55
5.332	18.31
5.373	18.31
5.410332375	18.31
5.446205285	18.31
5.455	18.8877792
5.500535649	19.07
5.514645504	19.07
5.534	19.07
5.579176166	19.07
5.583	19.07
5.63	19.07
5.658	19.07
5.669190214	19.07
5.706	19.44499576
5.745959157	19.84
5.752010969	19.07
5.786	19.07
5.833751654	19.84
5.849462818	19.84
5.864	19.84
5.903	19.84
5.904089493	19.84
5.945	19.84
5.945	19.84
5.96169265	19.84
5.995	20.4510952
6.032	20.4383169
6.056004794	19.84
6.066	20.6
6.106	20.6
6.106	20.6
6.132569814	20.6
6.15	20.6
6.19	20.6
6.223975747	20.6
6.238909257	20.6
6.272	20.6
6.272	20.6
6.314	20.6
6.314	21.36
6.358	21.36
6.399467263	21.36
6.420558723	21.36
6.443	20.66079834
6.474	20.6
6.505496893	20.6
6.522	20.6
6.553956712	21.36
6.571	21.36
6.615	21.36
6.638	21.36
6.638	22.06974446
6.687	22.13
6.725780582	22.13
6.729	22.13
6.749510448	22.13
6.780835709	22.13
6.803	22.13
6.82321795	22.13
6.843	22.13
6.884	22.13
6.884	22.13
6.926563924	22.13
6.933	22.13
6.958468891	22.89
7.001013552	22.89
7.005	22.89
7.046	22.89
7.046	22.89
7.088007396	22.89
7.098	22.89
7.138	22.89
7.162393577	22.89
7.178	23.65
7.209	23.65
7.209	23.65
7.246830826	23.65
7.25	23.65
7.28420916	23.65
7.302847326	23.65
7.335	23.65
7.371823493	23.65
7.373	23.65
7.373	23.65
7.422	23.65
7.434261438	23.65
7.464	23.65
7.464	23.65
7.507401548	23.65
7.534458601	23.65
7.536086324	23.65
7.578	23.65
7.619	25.18
7.624439906	23.65
7.661	23.65
7.716328746	25.18
7.747	25.18
7.760245473	25.18
7.781	25.18
7.822	25.18
7.822	25.18
7.86744138	25.18
7.902166656	25.18
7.906	25.18
7.953	25.19914159
7.974036296	25.94
7.988	25.94
8.027	25.94
8.059908266	25.18
8.073296435	25.94
8.109	25.94
8.109	25.94
8.109	25.94
8.157	25.94
8.18385369	25.94
8.198	25.94
8.235301738	25.94
8.265876202	25.94
8.272	26.7
8.312	26.7
8.33948339	26.7
8.354	26.7
8.384884004	26.7
8.401	26.7
8.41342493	27.47
8.467099428	27.47
8.474	26.7
8.516	26.76028427
8.538393427	27.47
8.557	27.47
8.557	27.47
8.600722953	27.47
8.617285328	27.47
8.641	27.47
8.669584007	27.47
8.689	27.47
8.724	27.47
8.752409534	27.47
8.764	27.47
8.805441538	27.47
8.823043167	28.23
8.845	28.23
8.845	28.23
8.894	28.23
8.923485133	28.23
8.926	28.23
8.926	28.23
8.975	28.23
9.007893002	28.23
9.023367257	28.23
9.049	28.23
9.056700136	28.99
9.089	28.99
9.119463629	28.99
9.13	28.99
9.157308914	28.99
9.18	28.99
9.218	28.99
9.233257116	28.99
9.252	28.99
9.264073266	29.75
9.295	29.75
9.30850355	29.75
9.343	29.32715351
9.377842903	28.99
9.38597388	28.99
9.423	29.48955514
9.456	29.75
9.456	29.75
9.456	29.75
9.498	29.75
9.49958501	29.75
9.56	29.75
9.58	29.75
9.602696518	29.75
9.622	29.75
9.659485543	29.75
9.668	29.75
9.707	29.75
9.707	29.75
9.758	30.52
9.768978062	30.52
9.786	30.52
9.84	30.52
9.891196505	30.52
9.899	30.52
9.918151479	30.52
9.955	30.85166195
9.988	31.28
9.995433665	31.28
10.03	31.28
10.03	31.28
10.06771713	31.28
10.08	32.01951944
10.1287381	32.01991098
10.1527677	31.28
10.16075609	31.28
10.19	31.28
10.19	31.28
10.23	31.28
10.23	31.98115284
10.28191159	32.04
10.29	32.04
10.33	32.04
10.35599715	32.04
10.36101107	32.04
10.4	32.04
10.43459592	32.04
10.44	32.04
10.49	32.04
10.49	32.04
10.49126928	32.81
10.54354701	32.81
10.56	32.81
10.56	32.81
10.56642369	32.81
10.61	32.81
10.64676044	32.81
10.65	32.81
10.65	32.81
10.68797419	32.81
10.71586202	33.57
10.72	32.81
10.77	32.81
10.77881643	32.81
10.8	32.81
10.8	32.81
10.85531265	33.57
10.88765864	33.57
10.89	33.57
10.93	33.57
10.93716635	33.57
10.97	33.57
10.99745881	33.57
11.02	33.57
11.05545694	33.57
11.08278944	33.57
11.09	33.57
11.10438952	33.57
11.14	33.9508936
11.17410438	34.33
11.18	34.27087062
11.20176355	33.57
11.22227692	34.33
11.25	34.33
11.27826307	34.33
11.29	34.33
11.34	35.1
11.35146822	34.33
11.38	34.58914912
11.40436384	35.1
11.43271997	35.86
11.46	35.86
11.47023388	35.86
11.5	35.86
11.54	35.86
11.54	35.86
11.56989744	35.86
11.59	35.86
11.59	35.86
11.63291896	35.86
11.66829228	35.86
11.67381466	35.86
11.7	35.86
11.7344525	35.86
11.74	35.86
11.74	35.86
11.77217249	35.86
11.8	36.62
11.84	36.62
11.86279961	36.62
11.87	36.62
11.87313938	36.62
11.91	36.62
11.93820718	36.62
11.95	36.62
11.95778678	38.15
12.01460811	36.62
12.03	37.63045535
12.06899744	38.15
12.07522478	38.15
12.11	38.15
12.11	38.15
12.16222861	38.15
12.17	38.15
12.22	38.15
12.23	38.15
12.24392044	38.15
12.28	38.15
12.31679216	38.91
12.32	38.91
12.32133169	38.91
12.37685789	38.91
12.4	38.91
12.42619395	38.91
12.44	38.91
12.44	38.91
12.45739129	38.91
12.50359145	38.91
12.52	38.91
12.52	39.67
12.57845542	39.67
12.6	39.67
12.61172342	39.67
12.64	39.67
12.68872463	39.67
12.69	39.67
12.69	39.67
12.71432479	39.67
12.75495019	40.44
12.77	39.82466055
12.81	39.67
12.8237206	39.67
12.85	39.67
12.85	39.67
12.87637956	39.67
12.91	40.44
12.94	40.44
12.94	40.44
12.96707828	40.44
13.02	40.44
13.02382745	41.2
13.07	41.2
13.11	41.2
13.12176018	41.2
13.14	41.2
13.18	41.41631624
13.19655967	41.96
13.21	41.96
13.21	41.96
13.21160459	41.96
13.27	41.82510715
13.28798208	41.2
13.32739209	41.2
13.34	41.2
13.34647748	41.96
13.39	41.96
13.43	41.96
13.43	41.96
13.4676896	41.96
13.49735551	41.96
13.5	41.96
13.54	41.96
13.57470144	41.96
13.58	41.96
13.58	42.66053556
13.62449433	42.72
13.64076242	41.96
13.67	42.44949915
13.71	42.72
13.71	42.72
13.75	42.72
13.75508978	42.72
13.79	42.72
13.79923817	42.72
13.83	43.29810938
13.88	43.49
13.89818186	42.72
13.91	42.72
13.91	43.42989613
13.96	43.49
13.97003944	42.72
13.99	42.72
14.00386699	42.72
14.05564978	43.49
14.07	43.49
14.11869902	43.49
14.1237611	43.49
14.15	43.49
14.19055706	43.49
14.2	43.49
14.24	43.49
14.27431694	43.49
14.28	43.49
14.29118038	43.49
14.32	43.49
14.32	43.85991918
14.34736996	44.25
14.37	44.25
14.41	44.25
14.4392267	44.25
14.44305407	44.25
14.48	44.25
14.49136073	44.25
14.52	44.86735229
14.56	45.01
14.57398833	45.01
14.62	45.01
14.65	45.01
14.68	45.01
14.68	45.01
14.72873138	45.01
14.73	45.01
14.74201659	45.01
14.78	45.01
14.81	45.3566901
14.84472529	45.78
14.85516536	45.01
14.89	45.01
14.93328229	45.01
14.94	45.01
