Desplaz. [mm]	Fuerza [N]
0	0
0.000598575	-0.028519695
0.079595462	-0.7629
0.206608166	-0.7629
0.352677055	-0.7629
0.476858838	-0.7629
0.620647796	-0.205126531
0.752007787	0
0.897158027	-0.512534273
1.029932431	0.102280973
1.142151198	-0.225065369
1.306041127	-0.192117861
1.433001422	-0.184182468
1.576230287	-0.189549143
1.70097846	-0.188008868
1.834435641	-0.392586118
1.98109197	-0.7629
2.125502578	-0.7629
2.245388632	-0.391583349
2.392113534	-0.258699517
2.526639159	-0.529999826
2.664826157	-0.147015742
2.786708318	-0.4456198
2.930315777	-0.669637789
3.079318111	-0.811092175
3.226404919	-1.320506654
3.360899966	-0.059900653
3.4976727	-0.7629
3.633988581	-0.7629
3.771862106	-0.603607786
3.88945933	0.258600879
4.03591054	1.389227164
4.17439759	2.289
4.311592763	1.881130249
4.452788849	2.244900926
4.582406272	1.741835997
4.722501596	1.667390828
4.849686166	2.081418991
4.992553999	1.526
5.127157405	1.526
5.269595845	1.526
5.393857662	1.526
5.537292816	1.855729997
5.673665429	1.709413431
5.811899458	1.526
5.940507205	1.526
6.078296162	1.526
6.223598962	1.526
6.350812508	1.858069386
6.495896574	2.289
6.631264365	2.289
6.753601662	1.864339317
6.880623306	1.796375283
7.014575319	2.289
7.177718967	2.289
7.284921328	2.289
7.443952604	2.46199408
7.594348464	3.803476644
7.732338337	4.578
7.862347462	5.518699383
8.004333711	6.478926759
8.136076502	7.781038313
8.288368664	8.542946277
8.422322596	9.407168583
8.553773321	10.49517097
8.699960963	11.64461573
8.832367227	12.74244721
8.968415392	13.73
9.097273165	15.36953794
9.239386979	16.58101452
9.369632011	17.62410158
9.510791557	18.32666035
9.65331354	19.17668622
9.780130223	20.51811009
9.927209836	21.5558639
10.05771819	22.61935882
10.1961205	22.49129789
10.32794127	22.13
10.46308732	22.90550081
10.58769711	24.1994393
10.73234172	25.18
10.85343518	26.02611704
10.99785763	27.25955838
11.15061942	28.43414149
11.28711993	29.5081036
11.42189219	30.62453324
11.54545924	31.56076764
11.69287372	32.11135241
11.83155426	33.90307839
11.96611314	35.29592655
12.1033689	36.13009628
12.23732144	37.10824322
12.38121471	37.9855014
12.50527836	38.91
12.65853233	39.34484264
12.78220306	40.38345562
12.91707466	41.79810891
13.06020098	42.91188601
13.18828278	44.17127438
13.32741383	44.77879601
13.46025218	46.13257634
13.60390539	47.4579537
13.74480057	48.66698231
13.88127431	49.59
14.01135385	50.29601418
14.14300701	51.50962434
14.28826382	52.68759241
14.41408314	53.55290622
14.56066885	54.49527405
14.69604497	55.27074251
14.82988285	56.59673185
14.96657519	57.58512039
15.10975795	58.40383327
15.24083762	59.02509013
15.37818363	60.34288356
15.51978668	61.04
15.63469843	61.70102397
15.77807939	62.39894431
15.92740938	63.30292747
16.04842457	64.0070376
16.16118493	64.90339325
16.32112293	65.24844083
16.4686157	66.20206195
16.60788275	66.96871734
16.74533384	67.14
16.87662753	67.86968056
17.01582452	67.96284392
17.14129844	68.66
17.28445167	68.7158242
17.42486886	69.43
17.55748531	69.43922265
17.70395724	70.01480416
17.8355334	70.30597978
17.98206945	70.7490895
18.10066156	70.95
18.25210368	70.95
18.38860624	70.95
18.52052528	71.44092721
18.65591165	71.16751997
18.7877556	71.72
18.92814293	71.72
19.05608868	71.53779755
19.20018117	70.95
19.3270807	71.47009798
19.46775957	70.95
19.60158166	70.95
19.73376352	70.95
19.87456228	70.95
20.02580939	70.95
20.16481536	70.95
20.31572559	70.95
20.46431069	70.61031901
20.60872538	70.95
20.75582633	70.95
20.91538706	70.95
21.04662404	70.92181031
21.19063142	70.19
21.31966798	70.34534902
21.46794957	70.19
21.62005687	69.82946069
21.75386884	69.56900923
21.90087397	69.43
22.02556128	69.43
