Desplaz. [mm]	Fuerza [N]
0	0
0.017771635	-0.124034193
0.143325093	-0.7629
0.272942029	-0.574239787
0.407609093	-0.375325152
0.542273892	-0.712959023
0.679565834	-0.040529595
0.814456905	-0.401847757
0.95551701	0
1.094002206	0
1.208481922	0
1.34859015	0
1.489622259	0
1.634670764	0
1.775055638	-0.001943983
1.907496748	-0.653116868
2.042217766	0
2.187400883	0
2.311183377	-0.156678882
2.452432387	-0.174610587
2.587766936	-0.560663417
2.72816249	-0.090799955
2.855424592	-0.186996083
2.994921073	0
3.129174336	0
3.267052284	0
3.408490463	0
3.54098023	0.316605188
3.684837048	0
3.814749857	0
3.95356454	0.1830676
4.081961196	0.677888703
4.216358412	0.7629
4.35206886	1.677963268
4.495147113	2.289
4.632715035	2.289
4.774564886	2.289
4.911037963	2.107472774
5.037757461	2.289
5.183084652	2.608063835
5.321054628	2.107384988
5.449450846	2.289
5.588499733	1.864081289
5.703154008	2.289
5.82377756	2.289
5.995552919	2.289
6.134954001	2.289
6.269746001	2.289
6.419284138	2.289
6.540738429	2.289
6.680414211	2.822430967
6.812317225	2.492992517
6.961485586	2.289
7.096784241	2.289
7.242227554	2.289
7.357913146	2.883022775
7.501586977	2.673794302
7.645145166	3.052
7.789245712	3.052
7.912849254	3.052
8.052538981	3.052
8.194597326	3.677389145
8.330055174	3.815
8.471750316	4.497511255
8.604791481	4.823556226
8.736934921	5.153679527
8.89364885	5.341
9.027457064	5.558110051
9.15306718	6.16633997
9.292077272	6.729698473
9.423524748	6.866
9.546376096	7.181311656
9.665059578	7.629
9.838288452	7.835298544
9.968609797	8.032473185
10.1160689	8.445365894
10.24396245	9.155
10.38671645	9.870279618
10.5222632	9.918
10.66502676	10.12804677
10.79246589	10.61658051
10.9397218	10.68
11.08309325	10.68
11.19717988	11.18891258
11.34049347	11.44
11.47322351	12.00025226
11.61279743	12.56590006
11.75184854	12.7955382
11.89291764	12.97
12.01799537	12.97
12.15342692	13.2007031
12.28850536	13.4090301
12.42388509	13.71341862
12.56283732	14.53053769
12.70446551	15.46260908
12.82810672	15.95476034
12.9800406	16.02
13.11761741	16.02
13.24592576	16.30957409
13.38120525	16.3700109
13.52998195	16.85351287
13.67739589	16.92798436
13.80771441	17.11979337
13.95091463	17.82541398
14.07542833	17.55
14.21848646	17.97053447
14.35990843	18.31
14.49965321	18.31
14.62446595	18.77183994
14.75414117	19.07
14.88809766	19.07
15.01138846	19.43790882
15.17356816	19.84
15.31637646	19.84
15.45961681	20.16424726
15.56768257	19.84
15.73095298	20.03306457
15.85906618	19.84
15.994262	20.12692157
16.13228372	20.6
16.26298873	20.6
16.41830808	20.85588472
16.56133758	21.36
16.68691981	21.36
16.83600676	21.46606873
16.98582712	22.13
17.11998626	21.92379858
17.25199271	22.13
17.3902422	22.13
17.52887342	22.13
17.66534309	21.61129453
17.80926161	22.13
17.9335903	22.20038502
18.0727965	22.89
18.21199105	22.89
18.35020483	22.51728425
18.48285155	22.89
18.62682937	22.89
18.76174052	22.89
18.904652	23.27703165
19.03647279	23.65
19.17983681	23.35869805
19.33982547	23.42262518
19.49317932	22.89
19.64666715	23.26447159
19.80327251	23.65
19.9536605	23.65
20.09408751	23.65
20.24552524	23.65
20.39235691	23.65
20.52870375	23.90813612
20.67922242	23.79151152
20.8043641	23.31134354
20.95064197	23.65
21.08861253	23.65
21.22740583	23.65
21.37484091	23.96411389
21.50291668	23.91411996
21.65228615	24.41
21.79054601	23.85685015
21.92547113	23.93543649
22.06005829	24.01317402
22.20350738	23.8662085
22.34022817	24.27536572
22.45910021	24.12338474
22.59785314	23.9044306
22.74128234	24.41
22.88704524	24.68799586
