Desplaz. [mm]	Fuerza [N]
0	0
0.050100788	0.001889712
0.176571878	0.348287859
0.316794848	0.22230553
0.444459677	0.198411165
0.592590638	0.295371704
0.71942653	0.137250981
0.849955944	0.594808847
1.002540552	0.610609553
1.135440409	1.4432397
1.264262062	0.380152719
1.411314788	0.48208931
1.543885929	0
1.684362604	0.44363038
1.827114979	0.112842072
1.959635588	0.035389644
2.09711708	0.68136989
2.232734937	0.286872798
2.371630658	0
2.496719333	0.344639551
2.639967082	0.20259023
2.777393834	0
2.919434046	0.464964107
3.052870181	0.380472054
3.187854836	0.224621866
3.332079559	0.171634268
3.463095327	0.7629
3.606326657	0.482682017
3.735143262	0.407763959
3.872090501	0.624454388
4.013424395	0.084314133
4.121343237	0.304648332
4.268910911	0
4.404254592	0.740937259
4.544027094	1.206910023
4.671719729	1.526
4.818005704	2.241069383
4.961613166	2.899625376
5.100158537	3.052
5.238145654	3.052
5.368669075	3.052
5.503276702	3.052
5.641809488	3.052
5.771036265	3.052
5.9105071	2.87620276
6.049035613	3.052
6.175906535	2.821953831
6.30737408	2.420636721
6.413626148	2.382699824
6.585476758	3.052
6.733357639	3.052
6.867171154	3.052
7.009113531	3.052
7.152606874	3.052
7.277958104	3.052
7.416839304	3.052
7.558356526	3.472137452
7.687005268	3.103283271
7.828045926	3.250644415
7.968403047	3.052
8.09457729	3.052
8.238992941	3.052
8.386249779	3.052
8.523578786	3.332349476
8.668298611	3.815
8.795525491	4.121041375
8.935895812	4.578
9.079704454	5.134743351
9.206366893	5.341
9.349774897	5.970236361
9.484740989	6.303200811
9.625969738	6.723827208
9.748305696	7.395424147
9.889496762	8.045442219
10.03153392	8.392
10.17158751	8.392
10.29579084	8.564786234
10.43929577	9.155
10.58599749	9.155
10.71453843	9.884152461
10.84542062	9.918
10.98628285	10.56773552
11.11638964	11.44
11.25684706	11.90281321
11.38364911	12.21
11.5179168	12.57674207
11.66288486	12.97
11.80004739	13.53580431
11.93940482	13.73
12.07510677	15.26
12.21168673	15.26
12.33979836	15.77943885
12.48007745	16.02
12.61006107	16.02
12.75671445	16.73548273
12.88980961	16.78
13.02615318	17.22190982
13.16782654	18.25736218
13.29171954	18.61490598
13.42027684	18.47781073
13.57371856	18.72837538
13.70155011	19.07
13.85376779	19.53326143
14.0137275	20.05311903
14.16032931	21.08969878
14.3161557	21.29419474
14.45370601	21.36
14.57107401	21.6655034
14.68460099	22.13
14.83252472	22.35823535
14.99390105	22.89
15.13299922	22.89
15.28552771	22.62429783
15.45074214	22.89
15.58110438	23.37087771
15.71053592	23.21848803
15.85246445	23.65
15.99387334	23.98037471
16.1450746	23.66349114
16.27813479	24.41
16.42104582	24.58360283
16.5777533	25.27601826
16.72012558	25.46678576
16.85274535	25.94
16.98258619	25.94
17.13115839	26.16623892
17.26605081	26.53560415
17.39033732	26.54012577
17.53104851	26.47323237
17.67659719	27.13059939
17.81006353	27.10703294
17.94133505	27.26430008
18.08408328	27.47
18.21373904	27.47
18.34773609	27.78341575
18.49040379	28.23
18.6214603	28.23
18.76237556	27.74316688
18.90338951	28.23
19.04012556	28.36483673
19.1815334	28.40904644
19.294495	28.03356355
19.43897777	28.57756366
19.57919435	29.33146517
19.71704104	28.99
19.85644848	29.18162998
19.97958915	29.2936493
20.13377384	29.55459261
20.27131248	30.07039398
20.39880276	30.08787303
20.55227924	29.91992487
20.69298938	29.75
20.8311635	29.92613601
20.98792449	29.89607625
21.14654059	30.06683488
21.3026221	30.52
21.4492354	30.52
21.60025207	30.21385937
21.75485741	30.52
21.89469483	30.52
22.0290351	30.52
22.16455837	30.52
22.31174459	30.52575396
22.43730759	30.89157672
22.54124489	30.78625796
22.71801171	30.52
22.86789881	30.83655673
22.98616162	30.53117872
23.13350179	30.80541138
23.28612904	30.70635982
23.41062752	30.8925946
23.53207056	30.54867225
23.69015592	31.28
23.82568949	31.05250913
23.94536028	30.92579719
24.0910301	30.91322008
24.24199813	30.94190401
24.3732286	30.82859569
24.5205416	31.07282424
24.64624708	30.7373184
24.78967412	31.02667345
24.92100842	30.96446958
25.03790603	31.28
25.18232007	31.28
25.32209817	31.28
25.46838213	31.0981581
25.59540026	31.28
25.7384952	31.48202509
25.86870648	31.28
26.00108171	31.28
26.1456392	31.28
26.28113457	31.28
26.41662513	31.28
26.55788583	30.89000797
