Desplaz. [mm]	Fuerza [N]
0	0
0.002336601	0.7629
0.056156433	0.7629
0.200809341	1.273571349
0.312032596	1.167436499
0.447181513	0.7629
0.597975155	0.665766003
0.733118611	0.502802468
0.859794252	0.734155625
0.994691746	0.538800068
1.133783816	0.7629
1.26461357	0.7629
1.391533451	0.564276806
1.534635324	0.142557633
1.654363704	0.236955567
1.78535241	0.653175048
1.933025038	0.213093951
2.057584285	0.710383136
2.192356534	0
2.326410628	0.493305801
2.468461309	0.132281565
2.595413664	-0.31783092
2.728393162	1.073184645
2.849320394	0.585116603
2.98518223	0.46277437
3.127471916	0.385125378
3.255193549	0.7629
3.382653299	0.7629
3.512561788	0.465288728
3.663326512	0.368282249
3.787353	0.31097443
3.92547091	0.643461083
4.050850499	1.542924671
4.187298512	2.289
4.316030287	2.641193991
4.451440546	3.00990162
4.592078281	3.282665709
4.722661348	2.64243767
4.853181083	3.052
4.973242131	3.187609553
5.113994558	3.052
5.259761649	3.052
5.384574234	3.052
5.510657736	2.981397927
5.647958246	2.915250516
5.783724393	3.052
5.92011989	3.052
6.049226544	3.052
6.188050381	3.052
6.315074659	3.052
6.437434294	3.052
6.579981273	3.052
6.708596064	3.310325879
6.843731173	3.09656783
6.979736964	3.426397029
7.116667681	3.370788743
7.234269531	3.31293205
7.371187218	3.815
7.509989079	3.815
7.630202749	4.656145524
7.768245848	5.531751624
7.917388079	6.209183984
8.044327286	7.299855559
8.163103852	7.979104445
8.300011249	8.599594849
8.419641767	9.48993536
8.5732819	10.43950754
8.707934359	11.25618935
8.846464259	11.53068748
8.974738311	12.64171154
9.121614768	13.69858127
9.244298764	14.5
9.375037046	16.02
9.487569513	16.52669946
9.633382743	17.67580511
9.778263711	19.06018418
9.912861893	20.24556694
10.02488632	21.30975382
10.16311342	22.21930811
10.30320147	23.20611652
10.43725099	23.08143498
10.5701028	23.65
10.70946607	23.65
10.83701853	24.3733939
10.96572686	25.11905479
11.09608905	26.01391521
11.24134542	26.7
11.35446992	27.6099157
11.49179187	28.46038093
11.63644475	29.4453479
11.76645184	30.49803924
11.90806866	31.16430429
12.02975455	31.6519511
12.1729285	32.81
12.30033731	33.00506922
12.4265102	34.03992848
12.57144818	34.46253186
12.7035328	35.1
12.83626848	35.64228355
12.96695605	36.21357795
13.09912856	36.62
13.22323935	36.62
13.36403615	36.69067498
13.49345361	37.38
13.62461115	37.90329257
13.74871987	38.15
13.8860193	38.15
14.0283584	38.50086739
14.16710676	38.91
14.29132643	38.91
14.42366033	38.91
14.55949356	39.48630569
14.69688272	39.67
14.82602173	39.67
14.96228807	39.67
15.0749363	39.67
15.21104059	39.95045875
15.35453678	40.24309395
15.47751155	40.44
15.61800982	40.44
15.75336839	40.44
15.89124305	40.44
16.02767416	40.44
16.15629952	40.44
16.29539684	40.72260931
16.4300222	40.62750577
16.56043679	40.8269908
16.69233581	40.83230878
16.75956235	40.44
16.92590478	40.82558349
17.08554793	40.44
17.22697131	40.44
17.36528607	40.44
17.485576	40.44
17.63099844	40.44
17.74816098	40.79844851
17.88975842	40.79024917
18.02406836	40.70234627
18.17138634	40.49576314
18.30737621	40.75057197
18.44532685	41.01009918
18.58102321	40.51351925
18.6807194	41.08296161
18.88596803	41.2
19.03226184	41.2
19.18902607	41.2
19.31222361	41.2
19.45723777	41.2
19.58716134	41.00973628
19.72422238	40.88693823
19.86046818	41.2
19.99595482	40.69878912
20.12585127	41.2
20.26495043	41.2
20.40210322	41.05526226
20.52906244	41.2
20.66740368	41.2
